@RELATION DB 

@ATTRIBUTE name STRING 
@ATTRIBUTE cites_count.currentYear  NUMERIC 
@ATTRIBUTE cites_count.L5Y.mean  NUMERIC 
@ATTRIBUTE cites_count.L5Y.median  NUMERIC 
@ATTRIBUTE cites_count.L5Y.std  NUMERIC 
@ATTRIBUTE cites_count.speed.mean  NUMERIC 
@ATTRIBUTE cites_count.speed.median  NUMERIC 
@ATTRIBUTE cites_count.speed.std  NUMERIC 
@ATTRIBUTE cites_count.acc.mean  NUMERIC 
@ATTRIBUTE cites_count.acc.median  NUMERIC 
@ATTRIBUTE cites_count.acc.std  NUMERIC 
@ATTRIBUTE cites_publication.currentYear  NUMERIC 
@ATTRIBUTE cites_publication.L5Y.mean  NUMERIC 
@ATTRIBUTE cites_publication.L5Y.median  NUMERIC 
@ATTRIBUTE cites_publication.L5Y.std  NUMERIC 
@ATTRIBUTE cites_publication.speed.mean  NUMERIC 
@ATTRIBUTE cites_publication.speed.median  NUMERIC 
@ATTRIBUTE cites_publication.speed.std  NUMERIC 
@ATTRIBUTE cites_publication.acc.mean  NUMERIC 
@ATTRIBUTE cites_publication.acc.median  NUMERIC 
@ATTRIBUTE cites_publication.acc.std  NUMERIC 
@ATTRIBUTE authors_count.currentYear  NUMERIC 
@ATTRIBUTE authors_count.L5Y.mean  NUMERIC 
@ATTRIBUTE authors_count.L5Y.median  NUMERIC 
@ATTRIBUTE authors_count.L5Y.std  NUMERIC 
@ATTRIBUTE authors_count.speed.mean  NUMERIC 
@ATTRIBUTE authors_count.speed.median  NUMERIC 
@ATTRIBUTE authors_count.speed.std  NUMERIC 
@ATTRIBUTE authors_count.acc.mean  NUMERIC 
@ATTRIBUTE authors_count.acc.median  NUMERIC
@ATTRIBUTE authors_count.acc.std  NUMERIC 
@ATTRIBUTE authors_total.currentYear  NUMERIC 
@ATTRIBUTE authors_total.L5Y.mean  NUMERIC 
@ATTRIBUTE authors_total.L5Y.median  NUMERIC 
@ATTRIBUTE authors_total.L5Y.std  NUMERIC 
@ATTRIBUTE authors_total.speed.mean  NUMERIC 
@ATTRIBUTE authors_total.speed.median  NUMERIC 
@ATTRIBUTE authors_total.speed.std  NUMERIC 
@ATTRIBUTE authors_total.acc.mean  NUMERIC 
@ATTRIBUTE authors_total.acc.median  NUMERIC 
@ATTRIBUTE authors_total.acc.std  NUMERIC 
@ATTRIBUTE countries_count.currentYear  NUMERIC 
@ATTRIBUTE countries_count.L5Y.mean  NUMERIC 
@ATTRIBUTE countries_count.L5Y.median  NUMERIC 
@ATTRIBUTE countries_count.L5Y.std  NUMERIC 
@ATTRIBUTE countries_count.speed.mean  NUMERIC 
@ATTRIBUTE countries_count.speed.median  NUMERIC 
@ATTRIBUTE countries_count.speed.std  NUMERIC 
@ATTRIBUTE countries_count.acc.mean  NUMERIC 
@ATTRIBUTE countries_count.acc.median  NUMERIC 
@ATTRIBUTE countries_count.acc.std  NUMERIC 
@ATTRIBUTE countries_total.currentYear  NUMERIC 
@ATTRIBUTE countries_total.L5Y.mean  NUMERIC 
@ATTRIBUTE countries_total.L5Y.median  NUMERIC 
@ATTRIBUTE countries_total.L5Y.std  NUMERIC 
@ATTRIBUTE countries_total.speed.mean  NUMERIC 
@ATTRIBUTE countries_total.speed.median  NUMERIC 
@ATTRIBUTE countries_total.speed.std  NUMERIC 
@ATTRIBUTE countries_total.acc.mean  NUMERIC 
@ATTRIBUTE countries_total.acc.median  NUMERIC 
@ATTRIBUTE countries_total.acc.std  NUMERIC 
@ATTRIBUTE articles_count.currentYear  NUMERIC 
@ATTRIBUTE articles_count.L5Y.mean  NUMERIC 
@ATTRIBUTE articles_count.L5Y.median  NUMERIC 
@ATTRIBUTE articles_count.L5Y.std  NUMERIC 
@ATTRIBUTE articles_count.speed.mean  NUMERIC 
@ATTRIBUTE articles_count.speed.median  NUMERIC 
@ATTRIBUTE articles_count.speed.std  NUMERIC 
@ATTRIBUTE articles_count.acc.mean  NUMERIC 
@ATTRIBUTE articles_count.acc.median  NUMERIC 
@ATTRIBUTE articles_count.acc.std  NUMERIC 
@ATTRIBUTE conf_count.currentYear  NUMERIC 
@ATTRIBUTE conf_count.L5Y.mean  NUMERIC 
@ATTRIBUTE conf_count.L5Y.median  NUMERIC 
@ATTRIBUTE conf_count.L5Y.std  NUMERIC 
@ATTRIBUTE conf_count.speed.mean  NUMERIC 
@ATTRIBUTE conf_count.speed.median  NUMERIC 
@ATTRIBUTE conf_count.speed.std  NUMERIC 
@ATTRIBUTE conf_count.acc.mean  NUMERIC 
@ATTRIBUTE conf_count.acc.median  NUMERIC 
@ATTRIBUTE conf_count.acc.std  NUMERIC 
@ATTRIBUTE field_count.currentYear  NUMERIC 
@ATTRIBUTE field_count.L5Y.mean  NUMERIC 
@ATTRIBUTE field_count.L5Y.median  NUMERIC 
@ATTRIBUTE field_count.L5Y.std  NUMERIC 
@ATTRIBUTE field_count.speed.mean  NUMERIC 
@ATTRIBUTE field_count.speed.median  NUMERIC 
@ATTRIBUTE field_count.speed.std  NUMERIC 
@ATTRIBUTE field_count.acc.mean  NUMERIC 
@ATTRIBUTE field_count.acc.median  NUMERIC 
@ATTRIBUTE field_count.acc.std  NUMERIC 
@ATTRIBUTE field_total.currentYear  NUMERIC 
@ATTRIBUTE field_total.L5Y.mean  NUMERIC 
@ATTRIBUTE field_total.L5Y.median  NUMERIC 
@ATTRIBUTE field_total.L5Y.std  NUMERIC 
@ATTRIBUTE field_total.speed.mean  NUMERIC 
@ATTRIBUTE field_total.speed.median  NUMERIC 
@ATTRIBUTE field_total.speed.std  NUMERIC 
@ATTRIBUTE field_total.acc.mean  NUMERIC 
@ATTRIBUTE field_total.acc.median  NUMERIC 
@ATTRIBUTE field_total.acc.std  NUMERIC 
@ATTRIBUTE access_open_count.currentYear  NUMERIC 
@ATTRIBUTE access_open_count.L5Y.mean  NUMERIC 
@ATTRIBUTE access_open_count.L5Y.median  NUMERIC 
@ATTRIBUTE access_open_count.L5Y.std  NUMERIC 
@ATTRIBUTE access_open_count.speed.mean  NUMERIC 
@ATTRIBUTE access_open_count.speed.median  NUMERIC 
@ATTRIBUTE access_open_count.speed.std  NUMERIC 
@ATTRIBUTE access_open_count.acc.mean  NUMERIC 
@ATTRIBUTE access_open_count.acc.median  NUMERIC 
@ATTRIBUTE access_open_count.acc.std  NUMERIC 
@ATTRIBUTE access_closed_count.currentYear  NUMERIC 
@ATTRIBUTE access_closed_count.L5Y.mean  NUMERIC 
@ATTRIBUTE access_closed_count.L5Y.median  NUMERIC 
@ATTRIBUTE access_closed_count.L5Y.std  NUMERIC 
@ATTRIBUTE access_closed_count.speed.mean  NUMERIC 
@ATTRIBUTE access_closed_count.speed.median  NUMERIC 
@ATTRIBUTE access_closed_count.speed.std  NUMERIC 
@ATTRIBUTE access_closed_count.acc.mean  NUMERIC 
@ATTRIBUTE access_closed_count.acc.median  NUMERIC 
@ATTRIBUTE access_closed_count.acc.std  NUMERIC 
@ATTRIBUTE sponsor_count.currentYear  NUMERIC 
@ATTRIBUTE sponsor_count.L5Y.mean  NUMERIC 
@ATTRIBUTE sponsor_count.L5Y.median  NUMERIC 
@ATTRIBUTE sponsor_count.L5Y.std  NUMERIC 
@ATTRIBUTE sponsor_count.speed.mean  NUMERIC 
@ATTRIBUTE sponsor_count.speed.median  NUMERIC 
@ATTRIBUTE sponsor_count.speed.std  NUMERIC 
@ATTRIBUTE sponsor_count.acc.mean  NUMERIC 
@ATTRIBUTE sponsor_count.acc.median  NUMERIC 
@ATTRIBUTE sponsor_count.acc.std  NUMERIC 
@ATTRIBUTE sponsor_total.currentYear  NUMERIC 
@ATTRIBUTE sponsor_total.L5Y.mean  NUMERIC 
@ATTRIBUTE sponsor_total.L5Y.median  NUMERIC 
@ATTRIBUTE sponsor_total.L5Y.std  NUMERIC 
@ATTRIBUTE sponsor_total.speed.mean  NUMERIC 
@ATTRIBUTE sponsor_total.speed.median  NUMERIC 
@ATTRIBUTE sponsor_total.speed.std  NUMERIC 
@ATTRIBUTE sponsor_total.acc.mean  NUMERIC 
@ATTRIBUTE sponsor_total.acc.median  NUMERIC 
@ATTRIBUTE sponsor_total.acc.std  NUMERIC 
@ATTRIBUTE publications.currentYear  NUMERIC 
@ATTRIBUTE publications.L5Y.mean  NUMERIC 
@ATTRIBUTE publications.L5Y.median  NUMERIC 
@ATTRIBUTE publications.L5Y.std  NUMERIC 
@ATTRIBUTE publications.speed.mean  NUMERIC 
@ATTRIBUTE publications.speed.median  NUMERIC 
@ATTRIBUTE publications.speed.std  NUMERIC 
@ATTRIBUTE publications.acc.mean  NUMERIC 
@ATTRIBUTE publications.acc.median  NUMERIC 
@ATTRIBUTE publications.acc.std  NUMERIC 

@DATA 
Massachusetts Institute of Technology,4356,146051.83333333334,267024.5,102846.33779481676,57485.6,59790,11430.286183643873,13321,19161.5,8154.435081598234,0.8433688,15.980741866666667,23.033724499999998,11.153368893064435,6.24768664,6.070959000000002,1.3895267603220218,1.5227175999999982,1.2526751999999965,1.316014547147478,51,51,51,0,0,0,0,0,0,0,4140,6575.833333333333,6666,1192.0375297037515,1382.8,1057,1187.2366908076922,1106.75,456,930.4792783829203,123,120.5,121.5,5.560275772537426,8,5,4.8166378315169185,3.5,2,3.2015621187164243,14822,23422.333333333332,24800,3888.163305326679,2967,1129,4014.4633016133052,3080,698,3951.8902439212557,3889,5686.5,6036,809.6012907598406,557.6,2299,872.3090278106722,599,1083.5,882.929498884254,688,1911.5,2181.5,559.5527231637784,357.6,31,511.3466925677725,438,189.5,522.8073258859329,28,27.833333333333332,28,0.3726779962499649,0.4,0,0.48989794855663565,0.5,0.5,0.5,9985,15718.666666666666,16944.5,2595.3326483430897,1939.2,689,2831.0351039858197,1948.5,388,2861.5304908387748,1403,2459.6666666666665,2650,518.2453301499419,451.6,224,358.9727566264604,305,39,356.220437369896,4040,5641.5,5887,755.6431587285981,724,308,749.0295054268556,513,940.5,750.088328132094,10,10,10,0,0,0,0,0,0,0,2576,2856.6666666666665,2650,559.6063100271674,598.4,345,468.28606641667227,340.75,483.5,177.62794684395809,5165,8525.333333333334,9125,1505.7272513823862,965.6,219,1599.8225651615244,1068.5,82.5,1686.011343378211
Stanford University,8402,214927.66666666666,382251,143986.1240914863,79021.4,64278,22274.003570081426,24221.5,43288.5,19531.174727854952,0.904316,16.073944266666665,23.238284,11.072642721859223,6.159132,6.735841999999998,1.3281701085184472,1.46350635,1.221076,1.112119107422594,51,51,51,0,0,0,0,0,0,0,2853,5193,5504.5,1279.8559814812497,1619.4,1705,871.3581582793611,1251.25,1630.5,541.1762074407928,153,155.5,156.5,7.135591542869215,7,2,4.604345773288535,5.25,6.5,3.491060010942235,21210,29290.833333333332,31048.5,4334.59807504943,4252.2,2294,4485.442649282231,4099.5,1779,3762.6265759439907,6904,8912.666666666666,9299,959.7625863838526,882.2,2919,1033.78438757799,814.25,1537,1020.6655610433811,807,1517.1666666666667,1671.5,321.43190915374635,228.2,65,295.6047360919645,224,388.5,301.8319068620811,28,28,28,0,0,0,0,0,0,0,15236,21128.833333333332,22038,2772.639140882844,2224,587,3093.987718139812,2543.5,4072,3034.69310639478,2019,3083.1666666666665,3385.5,582.2895661858357,527.8,1359,488.4008190001323,486,623,480.2145353901733,5545,6834.666666666667,6940,639.4152710788887,627.4,2105,757.7969648923121,523.25,873,626.0316984785994,10,10,10,0,0,0,0,0,0,0,2633,2329.5,2326,327.2388271583921,315.2,527,204.38532236929345,387.75,393,54.71003107292117,9291,12958.666666666666,13858.5,1726.8243171273164,1380.4,588,1911.6373714698088,1638.5,2719.5,1868.9107121529375
Harvard University,16924,436886.5,437654.5,304235.9810814351,172740.8,177171,28183.401465401585,29073.5,10169.5,31077.786476034616,0.82681125,14.915241375000003,21.1859205,10.615807319841641,5.991153349999999,6.600506,1.1986068106590626,0.9286125625000016,0.3545280000000006,1.196751141753089,51,51,51,0,0,0,0,0,0,0,2935,5260.333333333333,5510,1209.0891429318003,1472.8,1724,906.6539361851356,1214.5,1222,493.90155901758396,180,177.83333333333334,180,4.775516260631467,3.2,2,2.6381811916545836,1.75,1.5,1.479019945774904,46047,60157.833333333336,61963.5,7663.46604387046,7079.4,2717,7756.191787211041,6035.5,11331,8587.0350383587,15180,19923.666666666668,20612,2194.3171046035154,1624,413,2449.3877602372395,1747.25,3327.5,2562.535499754101,2276,2994,3069,382.01614276537236,333,135,364.2850532206887,392.75,201.5,324.6585706553887,28,28,28,0,0,0,0,0,0,0,31512,43534.166666666664,45179.5,5567.511814586077,4097.4,1685,6212.380497039761,4549.5,8097.5,6520.727355901334,1258,1927.5,2057.5,347.0834433773335,303,31,301.76812290233704,274.5,145,311.6805255385713,2971,3739.5,3827.5,382.7064802168889,400.2,252,416.6765652157558,345,114,367.31934335125885,10,10,10,0,0,0,0,0,0,0,1667,1697.8333333333333,1650.5,402.7006401231013,432.8,701,290.0271711409123,294.75,255.5,153.38248759229327,20469,28320.166666666668,29425,3629.686461053566,2598.2,10565,4001.9434978520126,3055,396,4306.342531661874
California Institute of Technology,2576,70962.66666666667,13526,47473.86070834724,27542.4,35728,10620.377029088939,17277.5,27084,10355.047887383234,1.0003884,15.912679633333335,22.6532625,10.643082807684662,6.044658319999999,6.986312000000002,2.0422452598218883,3.239184750000001,3.7933138000000017,1.7380163837756737,51,51,51,0,0,0,0,0,0,0,3882,5285.5,4927,1266.0706602187204,1348.8,175,1144.177678509767,938.5,1331,922.3455155200788,95,107,111.5,8.962886439832502,9.2,5,8.772684879784524,8.25,4,7.361215932167728,9779,14606.166666666666,16315.5,2662.6180985805845,2681.4,2950,2939.149441590203,3358.5,2692,1848.5114957716655,1981,3045.5,3224.5,482.95953936812,338,128,544.0643344311407,401.25,706,515.5140032045687,336,820.3333333333334,841.5,228.28977686752032,227.2,16,235.63989475468708,209,83,204.46515595572757,26,26,26,0.816496580927726,1,1,0.6324555320336759,0.75,0.5,0.82915619758885,4692,7882,8457,1484.092539792134,1304.2,510,1650.0911974797032,1355,2266.5,1454.9159769553705,707,1571.8333333333333,1854,419.5356229081017,324,337,253.99133843499467,236.25,136,145.38977783874628,2107,2672,2627.5,385.92918175921,526,137,405.0224685125506,362.25,258,224.46867821591502,10,10,10,0,0,0,0,0,0,0,2560,2681.1666666666665,2702.5,672.3038540884785,567.2,123,403.1746023747031,680,663.5,222.0191433187688,2575,4214.5,4509.5,749.2006295601556,593.2,212,839.8996130490834,619.5,239.5,782.5370598252839
University of Oxford,7236,186603.16666666666,339126.5,129824.7230838778,72015.4,75465,16137.274473714575,20932.75,19837.5,4535.138166307615,0.78167874,13.940754123333335,26.1183955,10.136614718040585,5.708941652,5.947790000000001,1.3624090936215465,1.4767304349999986,1.506545499999997,0.7006345968593675,51,51,51,0,0,0,0,0,0,0,3055,5596.666666666667,5870,1267.7851640645674,1409.2,3217,977.8096747322559,1253,1524.5,688.3955984751791,168,174,174,6.658328118479393,6.6,3,4.673328578219169,5.5,7.5,4.153311931459037,27347,37776.833333333336,39915.5,5551.717494513648,5208,2362,5787.926571752617,5149.75,8221.5,5209.575000659843,7018,9169,9079.5,1071.8193255706237,959.6,3243,1159.0778403541326,919.5,1543.5,1122.1190890453652,933,1193.8333333333333,1296.5,148.68581715221603,143.2,45,151.23676801624663,129.5,219.5,149.55684537994242,28,28,28,0,0,0,0,0,0,0,15533,21571.333333333332,22567.5,2927.5844233011553,2538.2,499,3237.803786519498,2344.75,627,3209.8414583122326,4540,5373.333333333333,5461,680.5707571998341,660.2,538,550.9299047973344,729.5,384.5,521.3216377630991,5566,7492.166666666667,7780.5,892.7981139217433,708.2,211,1037.4459793165138,736.25,1279.5,941.5878543715398,10,10,10,0,0,0,0,0,0,0,4051,4033.8333333333335,4044,570.514217370805,491.4,531,186.85245516182013,253,396.5,184.38953332551174,9257,13076.166666666666,14160,1850.8064383457881,1556.8,345,2001.9497895801483,1593.75,2713.5,2081.5145177250147
University of Cambridge,5975,153933.66666666666,267290.5,101356.38201032148,56010,49095,16542.688306318294,19403,28671.5,11964.824716643367,0.79656047,13.711726078333333,19.954661,9.281324163666662,5.156643706,4.819128000000003,1.212752344104758,1.5580208675000002,1.6784812349999996,0.7023720684589533,7501,10829.666666666666,11723,1555.8261113919154,1210,4655,1729.8907479953755,1324.5,2290.5,1697.168892597316,51,51,51,0,0,0,0,0,0,0,3104,5391.833333333333,5774,1203.0622617119843,1421,3014,854.129264221757,1101.75,689.5,706.8593831166139,163,161.66666666666666,164,9.480975102218595,8,5,3.0983866769659336,4,3,2.345207879911715,22472,31760.333333333332,33152.5,4722.656549960931,4656,2131,4721.230263395337,4097.5,1849.5,4506.674189466108,5914,7843.5,8123,929.3504452035303,836.2,2831,1006.9253001091988,845.5,291,901.9826772172512,608,910,911.5,151.53767408359766,107.6,19,95.6171532728307,99.25,125.5,67.66230486762922,28,28,28,0,0,0,0,0,0,0,13268,18726.166666666668,19656,2592.7303122812878,2138,719,2911.720178863347,2325.5,3626.5,2664.6110879451057,3143,4286.5,4504,640.3867971780805,578.2,30,617.335694739904,560.75,952.5,677.9835451543054,4695,6220.166666666667,6475.5,699.3595681447102,590.4,216,778.8264505010085,567.25,1036,700.9066895814307,10,10,10,0,0,0,0,0,0,0,3468,3728.5,3590,775.4256358069848,843,230,617.6798523507141,555.25,326,317.9200960933423
ETH Zurich - Swiss Federal Institute of Technology,3757,98760.33333333333,113364.5,67237.93161766818,37455.2,39354,8129.7875347391455,8663.5,3160,7615.806736649769,0.7481083,12.753490116666669,23.241750000000003,8.762134828636407,4.845358340000001,5.076535600000001,1.1460164921103007,1.3368419749999998,1.31162395,0.7892989329842043,5022,7402.166666666667,7739.5,1084.5219248846727,774.6,281,1241.6670407158274,827,1502.5,1238.89123816419,51,51,51,0,0,0,0,0,0,0,3961,5201.166666666667,4930.5,1203.6756784486795,1265.4,3193,1014.9330224206916,1023.25,440,747.6170058927231,147,138,140.5,11.67618659209133,11,15,3.7416573867739413,4.75,4.5,3.344772040064913,16109,21694.333333333332,21873.5,3283.7234286028956,3426.2,1148,3548.0619724012713,2643,641.5,2999.016422095751,4025,5337.333333333333,5500,612.6779106694008,477.2,214,681.6126172541116,508.75,953.5,717.7918831388386,452,1318.8333333333333,1511,394.34773853654707,276.2,36,375.6617627600658,312.25,94,366.14640173023685,28,28,28,0,0,0,0,0,0,0,9489,13396,14179.5,1817.3510026042484,1450.4,349,2109.2049307736793,1419.75,318,1991.6267691261835,1706,2135.5,2185.5,278.0807736372054,279.4,219,256.72600179958397,214.25,24.5,266.74648545013673,3666,5184.333333333333,5468,690.5924187890342,544.2,196,716.8141739670052,484,893,751.0096537328931,10,10,10,0,0,0,0,0,0,0,1709,1798.3333333333333,1646.5,433.0460586229702,508.6,495,250.71465852638133,187.25,291.5,108.1650937225129
Imperial College London,6384,151536.83333333334,263902,99101.04922992602,54492.4,53117,15429.896857723967,16113.75,23275,9424.507397604397,0.7900012,13.185547033333334,19.2422725,8.84751419851704,4.887616360000001,4.895486999999999,1.191125007394454,1.5133115500000003,1.5396845,0.4530033442542196,8081,11127.5,11930,1425.9901530749316,1090.4,425,1525.4794131682015,1313.25,2236.5,1568.7321911339743,51,51,51,0,0,0,0,0,0,0,4045,5757.333333333333,5587.5,1185.071962184388,1330.4,3677,1209.8379395605016,1001.75,363,917.1118729468069,160,167.83333333333334,167,8.394773506308685,8,3,6.324555320336759,10,12.5,6.123724356957945,25957,34216.833333333336,34502,4983.832976624407,4797.4,1934,4874.006220759264,4312.5,1679.5,5166.6193250519245,5936,7563.666666666667,7852.5,796.6949785764241,670.8,2347,850.0255054996879,723.5,1202.5,884.0323806286735,816,1269.5,1386,211.6811674822932,130.2,29,152.81151789050458,121.5,168,110.29392549002868,28,28,28,0,0,0,0,0,0,0,13374,18193.5,18883,2302.4205921884327,1856.2,124,2526.0111163650886,2353.25,903,2481.4241248726507,3190,4116,4194,603.7364215174257,585.4,452,511.88459636914257,523,940.5,574.282595940361,4399,5810.833333333333,6111.5,635.8879399880313,437.6,189,665.0583733778562,544.75,989,702.6953020335343,10,10,10,0,0,0,0,0,0,0,2886,3056.3333333333335,2873.5,682.9220713636041,706.2,364,450.08905785410957,317,274.5,151.34563092471484
University of Chicago,4754,122025.66666666667,137002,82276.81133358428,45421.2,42328,11992.693882526977,15607.5,13947,4351.33459412167,0.85090387,13.91112397833333,20.035991,9.37328612928594,5.278297625999999,5.1446000000000005,1.2752909642297356,1.9584554675000012,1.7618139350000002,0.8344249444442208,5587,8296.166666666666,8843.5,1223.836102407326,843.6,3304,1247.3415891406812,964,285.5,1333.7696577745348,51,51,51,0,0,0,0,0,0,0,5351,7634.5,6808,1559.9078765533986,1941,2018,1489.200859521643,1260.25,1730.5,991.3481666397532,118,122.5,122.5,3.4034296427770228,3.4,3,1.4966629547095767,2.5,2,0.8660254037844386,16829,24497,25669.5,3968.191065628435,4132.8,1903,3727.5237034792954,3027.5,480.5,3827.2934627488394,4377,5963.833333333333,6262,726.8641360132044,581.8,2173,805.1505200892564,616.25,266,707.2575114482702,399,868.5,572.5,236.90416487122664,145.6,39,112.28107587656969,90,93.5,53.7168502427311,28,28,28,0,0,0,0,0,0,0,9459,13695.5,14712.5,1924.5334283058496,1439.2,331,2035.759455338474,1543.75,2679,2088.196276095712,958,1665.3333333333333,1848.5,331.9546488436167,260.4,140,237.48903132565934,180.5,316,240.19315144275035,2652,3348.5,3460.5,339.89888202228616,391,296,317.57959632192996,307.75,58.5,354.4053999306444,10,10,10,0,0,0,0,0,0,0,1567,1687,1573.5,487.0824707719765,535.4,368,303.8760273532613,264,339.5,111.56836469178886
UCL,251,4485.333333333333,4780.5,3081.0856672427803,1773,2571,895.5411771660754,1555.25,1589,759.2425090180344,0.5329087,6.343273149999999,3.3340360999999996,4.439886846913671,2.58250386,2.5330147999999997,0.8658353870500779,1.2963057499999997,1.2169946499999997,0.5197240692729,471,675.5,689,99.21315436977095,86.2,4,77.03090288968447,89.25,99.5,63.817611205685225,51,51,51,0,0,0,0,0,0,0,323,442.1666666666667,431.5,76.5994270358612,72,56,36.30426972134269,47.5,50.5,24.315632831575655,62,65.83333333333333,67,3.7155828016013257,4,3,3.4641016151377544,4,4,2.5495097567963922,950,1328.8333333333333,1456,187.02086930488682,154.2,4,167.84802650016474,147.25,213.5,165.0323831858463,370,453,466.5,43.500957843860554,40.2,30,28.791665460684975,29,17.5,23.27015255644019,47,65.33333333333333,63.5,14.476033833738976,20.4,21,9.54148835350125,10.25,12.5,6.339361166552983,28,28,28,0,0,0,0,0,0,0,829,1163.8333333333333,1217,164.57259458636753,149.8,360,123.6614733860146,160.25,187,96.59289570149556,4479,5602.5,5598.5,784.9120439047082,816.6,397,713.2894503635954,601,1025.5,740.6460018119318,6288,7743,8054.5,707.2467744712591,614,2123,768.9015541667217,641.5,1053.5,699.2161682913232,10,10,10,0,0,0,0,0,0,0,4166,3974.1666666666665,4069.5,585.0764669871984,494.8,519,125.93712717066401,174,175.5,14.611639196202457
